shotnumber,date,time,sourceLat,sourceLon,shipLat,shipLon,waterDepth,sciTag
4971,2022-05-30,00:07:41.410012,16.736265,-101.730725,16.735479,-101.728744,4250.9,MGL22040055
4972,2022-05-30,00:09:50.558019,16.73527,-101.72811,16.734492,-101.726123,4255.2,MGL22040055
4973,2022-05-30,00:11:54.104011,16.734307,-101.725483,16.733541,-101.72349,4258.2,MGL22040055
4974,2022-05-30,00:14:03.366015,16.733362,-101.722843,16.732554,-101.720869,4264.3,MGL22040055
4975,2022-05-30,00:16:11.437014,16.73239,-101.720222,16.731584,-101.718241,4267.4,MGL22040055
4976,2022-05-30,00:18:18.970010,16.731412,-101.7176,16.730613,-101.715615,4270.3,MGL22040055
4977,2022-05-30,00:20:26.917010,16.730449,-101.714968,16.729645,-101.712989,4266.6,MGL22040055
4978,2022-05-30,00:22:43.364014,16.72948,-101.712346,16.728673,-101.710365,4262.0,MGL22040055
4979,2022-05-30,00:24:59.802015,16.728499,-101.709723,16.727681,-101.707743,4260.6,MGL22040055
4980,2022-05-30,00:27:06.215010,16.727477,-101.707122,16.726677,-101.70513,4260.8,MGL22040055
4981,2022-05-30,00:29:06.310011,16.726484,-101.704504,16.725727,-101.702494,4258.5,MGL22040055
4982,2022-05-30,00:31:04.759011,16.725516,-101.701877,16.724774,-101.699862,4264.1,MGL22040055
4983,2022-05-30,00:33:04.498015,16.724561,-101.699241,16.723799,-101.697236,4265.2,MGL22040055
4984,2022-05-30,00:35:09.320012,16.723568,-101.696625,16.722798,-101.694623,4266.8,MGL22040055
4985,2022-05-30,00:37:17.247011,16.7226,-101.693997,16.721839,-101.69199,4275.4,MGL22040055
4986,2022-05-30,00:39:36.564013,16.721644,-101.691355,16.720872,-101.689363,4257.5,MGL22040055
4987,2022-05-30,00:42:11.030012,16.720667,-101.688728,16.719893,-101.686737,4256.7,MGL22040055
4988,2022-05-30,00:44:57.543012,16.719706,-101.686097,16.718928,-101.684111,4271.5,MGL22040055
4989,2022-05-30,00:47:54.520011,16.718782,-101.683451,16.717967,-101.681478,4268.4,MGL22040055
4990,2022-05-30,00:50:47.204011,16.717808,-101.680834,16.716968,-101.678865,4290.0,MGL22040055
4991,2022-05-30,00:53:42.301011,16.716808,-101.678228,16.715985,-101.676244,4277.6,MGL22040055
4992,2022-05-30,00:56:42.871011,16.715916,-101.675565,16.715096,-101.673582,4284.8,MGL22040055
4993,2022-05-30,00:59:43.020016,16.714989,-101.672914,16.714081,-101.670976,4289.3,MGL22040055
4994,2022-05-30,01:02:48.228013,16.71404,-101.670268,16.713119,-101.668344,4274.4,MGL22040055
4995,2022-05-30,01:05:52.375015,16.713066,-101.667636,16.712103,-101.665735,4283.0,MGL22040055
4996,2022-05-30,01:09:05.055013,16.712107,-101.665004,16.711137,-101.663107,4291.8,MGL22040055
4997,2022-05-30,01:11:37.974011,16.711059,-101.662413,16.710127,-101.660496,4286.1,MGL22040055
4998,2022-05-30,01:13:56.123010,16.71006,-101.659796,16.709164,-101.657867,4281.7,MGL22040055
4999,2022-05-30,01:16:12.954013,16.709067,-101.657177,16.708194,-101.655241,4283.7,MGL22040055
5000,2022-05-30,01:18:32.184016,16.708114,-101.654536,16.707249,-101.652604,4298.0,MGL22040055
5001,2022-05-30,01:20:46.639010,16.707152,-101.651906,16.706271,-101.64998,4285.9,MGL22040055
5002,2022-05-30,01:22:59.607023,16.706168,-101.649283,16.705282,-101.647362,4303.8,MGL22040055
5003,2022-05-30,01:25:13.798016,16.705197,-101.646656,16.704326,-101.644729,4286.5,MGL22040055
5004,2022-05-30,01:27:27.679012,16.704246,-101.644023,16.703359,-101.6421,4288.0,MGL22040055
5005,2022-05-30,01:29:41.322014,16.703276,-101.641397,16.702402,-101.63947,4301.4,MGL22040055
5006,2022-05-30,01:31:51.552010,16.702298,-101.638774,16.7014,-101.636855,4292.4,MGL22040055
5007,2022-05-30,01:34:02.553011,16.701285,-101.636169,16.700425,-101.634231,4311.4,MGL22040055
5008,2022-05-30,01:36:15.991012,16.700309,-101.633549,16.699466,-101.6316,4313.4,MGL22040055
5009,2022-05-30,01:38:27.798016,16.699347,-101.630919,16.698501,-101.628971,4312.4,MGL22040055
5010,2022-05-30,01:40:39.121010,16.698351,-101.628305,16.697515,-101.626351,4336.1,MGL22040055
5011,2022-05-30,01:42:46.699012,16.697379,-101.62568,16.696563,-101.623717,4346.9,MGL22040055
5012,2022-05-30,01:44:53.410013,16.696434,-101.623045,16.695596,-101.621091,4352.4,MGL22040055
5013,2022-05-30,01:46:59.468012,16.695446,-101.620423,16.694613,-101.618468,4355.8,MGL22040055
5014,2022-05-30,01:49:06.633010,16.694507,-101.617787,16.693668,-101.615831,4358.5,MGL22040055
5015,2022-05-30,01:51:14.479014,16.693521,-101.615167,16.692677,-101.613213,4365.2,MGL22040055
5016,2022-05-30,01:53:20.993011,16.692537,-101.612548,16.6917,-101.61059,4367.2,MGL22040055
5017,2022-05-30,01:55:24.929015,16.691575,-101.609918,16.690742,-101.607961,4368.7,MGL22040055
5018,2022-05-30,01:57:32.207012,16.690598,-101.607291,16.689753,-101.605339,4366.5,MGL22040055
5019,2022-05-30,01:59:42.450016,16.689636,-101.604666,16.68881,-101.602701,4365.5,MGL22040055
5020,2022-05-30,02:01:48.783010,16.688671,-101.602037,16.687819,-101.600084,4378.7,MGL22040055
5021,2022-05-30,02:03:56.197011,16.687698,-101.599413,16.686871,-101.597449,4369.1,MGL22040055
5022,2022-05-30,02:06:03.914011,16.686731,-101.59678,16.685893,-101.594825,4375.1,MGL22040055
5023,2022-05-30,02:08:16.291011,16.685752,-101.594161,16.684907,-101.592206,4376.2,MGL22040055
5024,2022-05-30,02:10:28.655018,16.684798,-101.591529,16.68395,-101.589574,4380.9,MGL22040055
5025,2022-05-30,02:12:39.512012,16.68383,-101.588902,16.682975,-101.58695,4373.1,MGL22040055
5026,2022-05-30,02:14:47.340016,16.682803,-101.5863,16.681978,-101.584334,4532.9,MGL22040055
5027,2022-05-30,02:16:58.084011,16.681865,-101.583661,16.681047,-101.581692,4363.9,MGL22040055
5028,2022-05-30,02:19:04.288021,16.680884,-101.581039,16.680064,-101.579072,4345.2,MGL22040055
5029,2022-05-30,02:21:10.106014,16.679929,-101.578408,16.679099,-101.576442,4398.8,MGL22040055
5030,2022-05-30,02:23:20.537012,16.678996,-101.575765,16.678146,-101.57381,4401.2,MGL22040055
5031,2022-05-30,02:25:30.903012,16.67802,-101.573139,16.677149,-101.571194,4403.0,MGL22040055
5032,2022-05-30,02:27:47.111011,16.677047,-101.570515,16.676193,-101.568563,4395.4,MGL22040055
5033,2022-05-30,02:30:00.795017,16.676122,-101.567867,16.675242,-101.56593,4389.8,MGL22040055
5034,2022-05-30,02:32:14.967010,16.675159,-101.565238,16.674259,-101.563307,4513.4,MGL22040055
5035,2022-05-30,02:34:22.982016,16.674176,-101.562614,16.673263,-101.560691,4404.0,MGL22040055
5036,2022-05-30,02:36:32.647012,16.673177,-101.560001,16.672289,-101.558067,4415.1,MGL22040055
5037,2022-05-30,02:38:41.986010,16.672203,-101.557381,16.671328,-101.555438,4422.6,MGL22040055
5038,2022-05-30,02:40:53.903017,16.671216,-101.554761,16.670348,-101.552814,4424.5,MGL22040055
5039,2022-05-30,02:43:01.134012,16.670262,-101.552128,16.6694,-101.55018,4422.7,MGL22040055
5040,2022-05-30,02:45:12.120013,16.669291,-101.549498,16.668409,-101.547563,4423.4,MGL22040055
5041,2022-05-30,02:47:28.476013,16.668346,-101.546868,16.667487,-101.544917,4422.9,MGL22040055
5042,2022-05-30,02:49:40.100012,16.667338,-101.544253,16.666449,-101.542316,4421.5,MGL22040055
5043,2022-05-30,02:51:55.358017,16.666323,-101.541648,16.665478,-101.53969,4414.4,MGL22040055
5044,2022-05-30,02:54:04.031011,16.665364,-101.53902,16.664526,-101.537059,4408.6,MGL22040055
5045,2022-05-30,02:56:20.182015,16.664419,-101.536382,16.663585,-101.53442,4402.4,MGL22040055
5046,2022-05-30,02:58:30.871011,16.66344,-101.533758,16.662581,-101.531809,4403.6,MGL22040055
5047,2022-05-30,03:00:39.886010,16.662451,-101.531142,16.661616,-101.52918,4391.2,MGL22040055
5048,2022-05-30,03:02:44.366012,16.661473,-101.528517,16.660622,-101.526565,4389.1,MGL22040055
5049,2022-05-30,03:04:51.522014,16.66051,-101.52589,16.659683,-101.523925,4384.2,MGL22040055
5050,2022-05-30,03:06:56.780016,16.659565,-101.52325,16.658698,-101.521305,4373.5,MGL22040055
5051,2022-05-30,03:09:02.102015,16.658589,-101.52063,16.657744,-101.518675,4370.5,MGL22040055
5052,2022-05-30,03:11:09.075019,16.65762,-101.518001,16.656763,-101.516051,4364.9,MGL22040055
5053,2022-05-30,03:13:19.156010,16.656681,-101.515363,16.655814,-101.513417,4352.4,MGL22040055
5054,2022-05-30,03:15:30.821016,16.655712,-101.512735,16.654814,-101.510804,4344.3,MGL22040055
5055,2022-05-30,03:17:39.399011,16.654731,-101.510115,16.65384,-101.508178,4354.0,MGL22040055
5056,2022-05-30,03:19:49.195015,16.653754,-101.507491,16.652893,-101.505543,4369.3,MGL22040055
5057,2022-05-30,03:22:02.070011,16.652792,-101.50486,16.651896,-101.502929,4380.2,MGL22040055
5058,2022-05-30,03:24:15.642015,16.651808,-101.502242,16.650938,-101.500298,4394.4,MGL22040055
5059,2022-05-30,03:26:28.256016,16.650849,-101.499609,16.649966,-101.497673,4396.0,MGL22040055
5060,2022-05-30,03:28:43.800014,16.649869,-101.496987,16.648985,-101.495052,4411.4,MGL22040055
5061,2022-05-30,03:30:52.037013,16.648875,-101.494373,16.647996,-101.492432,4424.5,MGL22040055
5062,2022-05-30,03:33:01.423011,16.647908,-101.491748,16.647053,-101.489796,4436.0,MGL22040055
5063,2022-05-30,03:35:11.296016,16.646954,-101.489112,16.64608,-101.487171,4449.5,MGL22040055
5064,2022-05-30,03:37:19.465011,16.645979,-101.486488,16.645096,-101.48455,4441.7,MGL22040055
5065,2022-05-30,03:39:24.530016,16.644951,-101.483887,16.644102,-101.481935,4443.6,MGL22040055
5066,2022-05-30,03:41:30.628014,16.643984,-101.481265,16.643159,-101.479299,4444.8,MGL22040055
5067,2022-05-30,03:43:35.046013,16.643055,-101.478621,16.642199,-101.476668,4445.5,MGL22040055
5068,2022-05-30,03:45:39.377012,16.642068,-101.475999,16.641202,-101.474052,4444.1,MGL22040055
5069,2022-05-30,03:47:43.078013,16.641085,-101.473381,16.640239,-101.471425,4445.6,MGL22040055
5070,2022-05-30,03:49:46.201012,16.640113,-101.470756,16.639252,-101.468806,4441.8,MGL22040055
5071,2022-05-30,03:51:53.083012,16.639129,-101.468133,16.638286,-101.466179,4439.5,MGL22040055
5072,2022-05-30,03:53:59.866012,16.63813,-101.465523,16.637321,-101.46355,4436.5,MGL22040055
5073,2022-05-30,03:56:08.470012,16.637217,-101.462872,16.636383,-101.460913,4426.9,MGL22040055
5074,2022-05-30,03:58:21.001001,16.636251,-101.460241,16.63536,-101.458306,4413.8,MGL22040055
5075,2022-05-30,04:00:28.165011,16.635228,-101.457639,16.634386,-101.455684,4430.5,MGL22040055
5076,2022-05-30,04:02:34.912015,16.634273,-101.455008,16.633436,-101.45305,4361.1,MGL22040055
5077,2022-05-30,04:04:41.621011,16.633336,-101.45237,16.6325,-101.45041,4362.5,MGL22040055
5078,2022-05-30,04:06:52.840015,16.632395,-101.449726,16.631508,-101.447793,4408.0,MGL22040055
5079,2022-05-30,04:09:05.043019,16.631395,-101.447114,16.630505,-101.44518,4374.7,MGL22040055
5080,2022-05-30,04:11:11.637024,16.630395,-101.444502,16.629528,-101.442558,4393.5,MGL22040055
5081,2022-05-30,04:13:20.517010,16.62945,-101.441869,16.628598,-101.439916,4384.4,MGL22040055
5082,2022-05-30,04:15:26.778011,16.628506,-101.439228,16.627613,-101.437296,4378.4,MGL22040055
5083,2022-05-30,04:17:33.848011,16.62752,-101.436607,16.626625,-101.434679,4366.8,MGL22040055
5084,2022-05-30,04:19:45.564013,16.626544,-101.433986,16.625666,-101.432049,4380.7,MGL22040055
5085,2022-05-30,04:21:57.549011,16.625551,-101.43137,16.624667,-101.429435,4371.2,MGL22040055
5086,2022-05-30,04:24:15.873014,16.624611,-101.428733,16.623735,-101.426792,4369.5,MGL22040055
5087,2022-05-30,04:26:30.325016,16.623663,-101.426096,16.622753,-101.424174,4366.0,MGL22040055
5088,2022-05-30,04:28:48.771010,16.622681,-101.423473,16.621762,-101.421555,4370.4,MGL22040055
5089,2022-05-30,04:31:02.126999,16.62172,-101.42085,16.62084,-101.418911,4375.6,MGL22040055
5090,2022-05-30,04:33:11.806015,16.620749,-101.418219,16.619832,-101.416303,4385.2,MGL22040055
5091,2022-05-30,04:35:32.186016,16.619775,-101.415587,16.618835,-101.413686,4391.7,MGL22040055
5092,2022-05-30,04:37:47.885011,16.61875,-101.412991,16.617855,-101.411064,4392.9,MGL22040055
5093,2022-05-30,04:40:00.890012,16.617837,-101.410346,16.616954,-101.408416,4391.9,MGL22040055
5094,2022-05-30,04:42:21.776012,16.616875,-101.407711,16.615936,-101.405803,4398.5,MGL22040055
5095,2022-05-30,04:44:34.503016,16.615869,-101.405106,16.61495,-101.403186,4413.8,MGL22040055
5096,2022-05-30,04:46:51.336020,16.614943,-101.402459,16.614027,-101.400542,4406.4,MGL22040055
5097,2022-05-30,04:49:08.411012,16.613963,-101.399831,16.612996,-101.397942,4419.8,MGL22040055
5098,2022-05-30,04:51:28.707016,16.612945,-101.39723,16.61202,-101.395318,4400.2,MGL22040055
5099,2022-05-30,04:53:42.465011,16.611981,-101.394606,16.611084,-101.392679,4405.5,MGL22040055
5100,2022-05-30,04:56:04.432011,16.611041,-101.391965,16.610113,-101.390054,4396.3,MGL22040055
5101,2022-05-30,04:58:21.918013,16.610074,-101.389337,16.609126,-101.387436,4391.3,MGL22040055
5102,2022-05-30,05:00:39.350011,16.609085,-101.386717,16.608155,-101.384809,4390.9,MGL22040055
5103,2022-05-30,05:03:00.417009,16.608123,-101.38409,16.607163,-101.382193,4387.9,MGL22040055
5104,2022-05-30,05:05:17.315015,16.607153,-101.381464,16.606215,-101.379561,4405.0,MGL22040055
5105,2022-05-30,05:07:40.606029,16.606194,-101.378835,16.605232,-101.376938,4399.0,MGL22040055
5106,2022-05-30,05:09:57.427011,16.605198,-101.376221,16.604248,-101.374318,4401.5,MGL22040055
5107,2022-05-30,05:12:14.589017,16.60421,-101.373604,16.603283,-101.371691,4382.0,MGL22040055
5108,2022-05-30,05:14:32.326013,16.603293,-101.370954,16.602336,-101.369058,4382.5,MGL22040055
5109,2022-05-30,05:16:44.308016,16.6023,-101.368338,16.601328,-101.366448,4382.6,MGL22040055
5110,2022-05-30,05:19:03.006013,16.601308,-101.365726,16.600356,-101.363824,4377.1,MGL22040055
5111,2022-05-30,05:21:29.328016,16.60035,-101.363095,16.599418,-101.361185,4389.2,MGL22040055
5112,2022-05-30,05:23:52.888014,16.59936,-101.360471,16.598416,-101.358572,4387.9,MGL22040055
5113,2022-05-30,05:26:21.504013,16.598371,-101.357858,16.597431,-101.355954,4402.7,MGL22040055
5114,2022-05-30,05:28:46.516011,16.597411,-101.355229,16.596472,-101.353324,4427.6,MGL22040055
5115,2022-05-30,05:31:06.706017,16.596478,-101.352588,16.595534,-101.350687,4395.7,MGL22040055
5116,2022-05-30,05:33:27.360017,16.595476,-101.349971,16.594486,-101.348092,4398.9,MGL22040055
5117,2022-05-30,05:35:52.149016,16.594472,-101.34737,16.593551,-101.345453,4334.9,MGL22040055
5118,2022-05-30,05:38:19.175015,16.593546,-101.344717,16.592603,-101.342818,4236.7,MGL22040055
5119,2022-05-30,05:40:45.182016,16.592558,-101.342099,16.591603,-101.340207,4243.6,MGL22040055
5120,2022-05-30,05:43:08.181011,16.591585,-101.339468,16.590617,-101.337588,4239.2,MGL22040055
5121,2022-05-30,05:45:24.963016,16.590588,-101.336864,16.589661,-101.334956,4208.5,MGL22040055
5122,2022-05-30,05:47:45.567033,16.589659,-101.334212,16.588701,-101.332327,4148.0,MGL22040055
5123,2022-05-30,05:50:01.806010,16.588705,-101.331581,16.587737,-101.3297,4091.8,MGL22040055
5124,2022-05-30,05:52:13.731011,16.58773,-101.328957,16.586739,-101.327086,4083.6,MGL22040055
5125,2022-05-30,05:54:27.135014,16.58675,-101.326339,16.585768,-101.324462,4068.4,MGL22040055
5126,2022-05-30,05:56:45.243016,16.585791,-101.323704,16.584794,-101.321837,4092.9,MGL22040055
5127,2022-05-30,05:59:01.507013,16.584814,-101.321083,16.583827,-101.319214,4085.8,MGL22040055
5128,2022-05-30,06:01:20.704011,16.583833,-101.318468,16.582835,-101.316595,4088.9,MGL22040055
5129,2022-05-30,06:03:29.999026,16.582827,-101.31586,16.581861,-101.313971,4094.4,MGL22040055
5130,2022-05-30,06:05:47.327010,16.581866,-101.31323,16.580892,-101.311347,4078.3,MGL22040055
5131,2022-05-30,06:08:06.293019,16.580875,-101.310614,16.579909,-101.308727,4060.1,MGL22040055
5132,2022-05-30,06:10:23.590010,16.579883,-101.308001,16.57894,-101.306102,4005.6,MGL22040055
5133,2022-05-30,06:12:37.976011,16.578918,-101.305375,16.577964,-101.303479,3964.2,MGL22040055
5134,2022-05-30,06:14:46.668012,16.577911,-101.30277,16.576992,-101.300856,3949.3,MGL22040055
5135,2022-05-30,06:16:59.438016,16.576965,-101.300134,16.576019,-101.298231,3898.4,MGL22040055
5136,2022-05-30,06:19:10.855010,16.576004,-101.297503,16.575056,-101.295604,3843.3,MGL22040055
5137,2022-05-30,06:21:20.286021,16.575033,-101.29488,16.574076,-101.292983,3784.2,MGL22040055
5138,2022-05-30,06:23:33.050014,16.574063,-101.292255,16.573104,-101.290358,3728.5,MGL22040055
5139,2022-05-30,06:25:39.557014,16.573059,-101.289642,16.572125,-101.287738,3613.5,MGL22040055
5140,2022-05-30,06:27:47.336010,16.572074,-101.287031,16.571132,-101.285123,3487.3,MGL22040055
5141,2022-05-30,06:30:01.366016,16.571119,-101.284399,16.570178,-101.282491,3396.6,MGL22040055
5142,2022-05-30,06:32:10.214014,16.570111,-101.28179,16.569184,-101.279874,3380.4,MGL22040055
5143,2022-05-30,06:34:18.572014,16.56914,-101.279171,16.568241,-101.277243,3363.3,MGL22040055
5144,2022-05-30,06:36:31.354015,16.568179,-101.276533,16.56724,-101.274624,3383.5,MGL22040055
5145,2022-05-30,06:38:40.293011,16.567228,-101.273905,16.566302,-101.27199,3383.4,MGL22040055
5146,2022-05-30,06:40:50.966014,16.566275,-101.271269,16.565325,-101.269367,3411.8,MGL22040055
5147,2022-05-30,06:43:04.053013,16.565317,-101.26864,16.564359,-101.266741,3427.4,MGL22040055
5148,2022-05-30,06:45:16.151015,16.564315,-101.26603,16.563352,-101.26413,3432.1,MGL22040055
5149,2022-05-30,06:47:32.569997,16.563345,-101.263399,16.562389,-101.261504,3454.4,MGL22040055
5150,2022-05-30,06:49:43.042014,16.562366,-101.260779,16.561398,-101.258888,3467.9,MGL22040055
5151,2022-05-30,06:51:54.967011,16.561406,-101.258157,16.560432,-101.256262,3498.8,MGL22040055
5152,2022-05-30,06:54:13.151010,16.560469,-101.255508,16.559471,-101.253632,3511.0,MGL22040055
5153,2022-05-30,06:56:22.900011,16.559466,-101.252903,16.558478,-101.251017,3509.2,MGL22040055
5154,2022-05-30,06:58:35.499012,16.558494,-101.250284,16.557505,-101.248395,3559.5,MGL22040055
5155,2022-05-30,07:00:44.619013,16.557495,-101.247678,16.556535,-101.245769,3611.8,MGL22040055
5156,2022-05-30,07:02:57.347016,16.556545,-101.245035,16.555558,-101.243145,3707.2,MGL22040055
5157,2022-05-30,07:05:12.254015,16.555531,-101.242427,16.554567,-101.240532,3851.6,MGL22040055
5158,2022-05-30,07:07:21.988011,16.554541,-101.23982,16.553603,-101.237903,4023.1,MGL22040055
5159,2022-05-30,07:09:34.755013,16.553611,-101.23718,16.552678,-101.235261,4107.1,MGL22040055
5160,2022-05-30,07:11:44.600010,16.55261,-101.23456,16.551634,-101.232665,4162.1,MGL22040055
5161,2022-05-30,07:13:59.362015,16.551643,-101.231938,16.550681,-101.230034,4217.1,MGL22040055
5162,2022-05-30,07:16:17.610015,16.550687,-101.229304,16.54971,-101.227409,4139.3,MGL22040055
5163,2022-05-30,07:18:28.285013,16.549698,-101.226691,16.548725,-101.224792,4203.9,MGL22040055
5164,2022-05-30,07:20:36.768010,16.548723,-101.224068,16.547752,-101.222169,4301.0,MGL22040055
5165,2022-05-30,07:22:45.670013,16.547742,-101.221444,16.546796,-101.219539,4298.1,MGL22040055
5166,2022-05-30,07:25:00.423012,16.546824,-101.218793,16.545838,-101.21691,4328.7,MGL22040055
5167,2022-05-30,07:27:19.510017,16.545824,-101.216174,16.544816,-101.214304,4382.7,MGL22040055
5168,2022-05-30,07:29:36.306010,16.544825,-101.213569,16.54386,-101.211674,4388.9,MGL22040055
5169,2022-05-30,07:31:39.675015,16.543863,-101.210943,16.542897,-101.209048,4393.0,MGL22040055
5170,2022-05-30,07:33:46.079017,16.542881,-101.208318,16.541906,-101.206432,4356.7,MGL22040055
5171,2022-05-30,07:36:01.711011,16.541907,-101.205695,16.540926,-101.203811,4376.3,MGL22040055
5172,2022-05-30,07:38:06.893014,16.540909,-101.203086,16.53994,-101.201192,4382.8,MGL22040055
5173,2022-05-30,07:40:24.394013,16.539985,-101.200435,16.538992,-101.19856,4349.5,MGL22040055
5174,2022-05-30,07:42:28.461011,16.538971,-101.197832,16.538,-101.195946,4360.2,MGL22040055
5175,2022-05-30,07:44:43.013016,16.538017,-101.195195,16.537022,-101.193323,4383.1,MGL22040055
5176,2022-05-30,07:46:56.483016,16.537034,-101.192577,16.536054,-101.190698,4398.7,MGL22040055
5177,2022-05-30,07:48:56.828015,16.536036,-101.189971,16.535067,-101.188081,4387.8,MGL22040055
5178,2022-05-30,07:50:57.310011,16.535073,-101.187344,16.534098,-101.185455,4396.1,MGL22040055
5179,2022-05-30,07:53:00.535013,16.534095,-101.184722,16.53312,-101.182835,4408.9,MGL22040055
5180,2022-05-30,07:55:18.400014,16.533099,-101.182104,16.532145,-101.18021,4416.5,MGL22040055
5181,2022-05-30,07:57:33.626013,16.532182,-101.179457,16.5312,-101.177578,4418.9,MGL22040055
